date,location,location_name,population,value,season,season_week,epiyear,epiweek,weekly_rate,state_mean,state_std,zflu
2022-01-29,28,Mississippi,2939690,12.0,2021/2022,16,2022,4,0.407740962166735,61.59537572254335,87.4439912538232,-0.5671673377600426
2022-02-05,28,Mississippi,2939690,21.0,2021/2022,17,2022,5,0.713546683791787,61.59537572254335,87.4439912538232,-0.4642443138798111
2022-02-12,28,Mississippi,2939690,21.0,2021/2022,18,2022,6,0.713546683791787,61.59537572254335,87.4439912538232,-0.4642443138798111
2022-02-19,28,Mississippi,2939690,25.0,2021/2022,19,2022,7,0.849460337847366,61.59537572254335,87.4439912538232,-0.4185007477108193
2022-02-26,28,Mississippi,2939690,27.0,2021/2022,20,2022,8,0.917417164875155,61.59537572254335,87.4439912538232,-0.3956289646263234
2022-03-05,28,Mississippi,2939690,34.0,2021/2022,21,2022,9,1.15526605947242,61.59537572254335,87.4439912538232,-0.3155777238305878
2022-03-12,28,Mississippi,2939690,33.0,2021/2022,22,2022,10,1.12128764595852,61.59537572254335,87.4439912538232,-0.32701361537283574
2022-03-19,28,Mississippi,2939690,31.0,2021/2022,23,2022,11,1.05333081893073,61.59537572254335,87.4439912538232,-0.34988539845733163
2022-03-26,28,Mississippi,2939690,48.0,2021/2022,24,2022,12,1.63096384866694,61.59537572254335,87.4439912538232,-0.15547524223911657
2022-04-02,28,Mississippi,2939690,25.0,2021/2022,25,2022,13,0.849460337847366,61.59537572254335,87.4439912538232,-0.4185007477108193
2022-04-09,28,Mississippi,2939690,32.0,2021/2022,26,2022,14,1.08730923244463,61.59537572254335,87.4439912538232,-0.3384495069150837
2022-04-16,28,Mississippi,2939690,22.0,2021/2022,27,2022,15,0.747525097305682,61.59537572254335,87.4439912538232,-0.45280842233756313
2022-04-23,28,Mississippi,2939690,16.0,2021/2022,28,2022,16,0.543654616222314,61.59537572254335,87.4439912538232,-0.5214237715910508
2022-04-30,28,Mississippi,2939690,26.0,2021/2022,29,2022,17,0.88343875136126,61.59537572254335,87.4439912538232,-0.40706485616857135
2022-05-07,28,Mississippi,2939690,22.0,2021/2022,30,2022,18,0.747525097305682,61.59537572254335,87.4439912538232,-0.45280842233756313
2022-05-14,28,Mississippi,2939690,25.0,2021/2022,31,2022,19,0.849460337847366,61.59537572254335,87.4439912538232,-0.4185007477108193
2022-05-21,28,Mississippi,2939690,31.0,2021/2022,32,2022,20,1.05333081893073,61.59537572254335,87.4439912538232,-0.34988539845733163
2021-10-09,29,Missouri,6196156,0.0,2021/2022,0,2021,40,0.0,150.121387283237,262.6328285293369,-0.5716017609979324
2021-10-16,29,Missouri,6196156,3.0,2021/2022,1,2021,41,0.0480348463989717,150.121387283237,262.6328285293369,-0.5601789696553608
2021-10-23,29,Missouri,6196156,0.0,2021/2022,2,2021,42,0.0,150.121387283237,262.6328285293369,-0.5716017609979324
2021-10-30,29,Missouri,6196156,6.0,2021/2022,3,2021,43,0.0960696927979433,150.121387283237,262.6328285293369,-0.5487561783127892
2021-11-06,29,Missouri,6196156,7.0,2021/2022,4,2021,44,0.112081308264267,150.121387283237,262.6328285293369,-0.5449485811985987
2021-11-13,29,Missouri,6196156,8.0,2021/2022,5,2021,45,0.128092923730591,150.121387283237,262.6328285293369,-0.5411409840844081
2021-11-20,29,Missouri,6196156,5.0,2021/2022,6,2021,46,0.0800580773316194,150.121387283237,262.6328285293369,-0.5525637754269798
2021-11-27,29,Missouri,6196156,14.0,2021/2022,7,2021,47,0.224162616528534,150.121387283237,262.6328285293369,-0.518295401399265
2021-12-04,29,Missouri,6196156,26.0,2021/2022,8,2021,48,0.416302002124421,150.121387283237,262.6328285293369,-0.4726042360289786
2021-12-11,29,Missouri,6196156,37.0,2021/2022,9,2021,49,0.592429772253984,150.121387283237,262.6328285293369,-0.4307206677728827
2021-12-18,29,Missouri,6196156,44.0,2021/2022,10,2021,50,0.704511080518251,150.121387283237,262.6328285293369,-0.404067487973549
2021-12-25,29,Missouri,6196156,78.0,2021/2022,11,2021,51,1.24890600637326,150.121387283237,262.6328285293369,-0.27460918609107093
2022-01-01,29,Missouri,6196156,123.0,2021/2022,12,2021,52,1.96942870235784,150.121387283237,262.6328285293369,-0.10326731595249698
2022-01-08,29,Missouri,6196156,81.0,2021/2022,13,2022,1,1.29694085277224,150.121387283237,262.6328285293369,-0.2631863947484993
2022-01-15,29,Missouri,6196156,71.0,2021/2022,14,2022,2,1.136824698109,150.121387283237,262.6328285293369,-0.30126236589040467
2022-01-22,29,Missouri,6196156,52.0,2021/2022,15,2022,3,0.832604004248842,150.121387283237,262.6328285293369,-0.37360671106002474
2022-01-29,29,Missouri,6196156,53.0,2021/2022,16,2022,4,0.848615619715166,150.121387283237,262.6328285293369,-0.3697991139458342
2022-02-05,29,Missouri,6196156,47.0,2021/2022,17,2022,5,0.752545926917223,150.121387283237,262.6328285293369,-0.3926446966309774
2022-02-12,29,Missouri,6196156,46.0,2021/2022,18,2022,6,0.736534311450899,150.121387283237,262.6328285293369,-0.39645229374516794
2022-02-19,29,Missouri,6196156,55.0,2021/2022,19,2022,7,0.880638850647814,150.121387283237,262.6328285293369,-0.3621839197174532
2022-02-26,29,Missouri,6196156,50.0,2021/2022,20,2022,8,0.800580773316194,150.121387283237,262.6328285293369,-0.3812219052884058
2022-03-05,29,Missouri,6196156,72.0,2021/2022,21,2022,9,1.15283631357532,150.121387283237,262.6328285293369,-0.29745476877621413
2022-03-12,29,Missouri,6196156,67.0,2021/2022,22,2022,10,1.0727782362437,150.121387283237,262.6328285293369,-0.3164927543471668
2022-03-19,29,Missouri,6196156,90.0,2021/2022,23,2022,11,1.44104539196915,150.121387283237,262.6328285293369,-0.22891802072078454
2022-03-26,29,Missouri,6196156,79.0,2021/2022,24,2022,12,1.26491762183959,150.121387283237,262.6328285293369,-0.2708015889768804
